lead_time,variable,level,acc,rmse
102,temperature,500,0.39560740656103927,3.865741590816808
108,temperature,500,0.39093400320730304,3.9303261581129303
114,temperature,500,0.37913110074339185,4.067409156348517
120,temperature,500,0.36413740741476347,4.174112304328451
6,temperature,850,0.977761689210068,0.6912186922064127
12,temperature,850,0.9267041283369216,1.2767130317335769
18,temperature,850,0.8631644125649923,1.7778173095689278
24,temperature,850,0.8034978706761734,2.188808291343094
30,temperature,850,0.7806672935801559,2.2901222466292572
36,temperature,850,0.709105320264671,2.719096296760514
42,temperature,850,0.6137782609124649,3.2194086251123286
48,temperature,850,0.54170852694578,3.5653417857369174
54,temperature,850,0.5309060202620872,3.530315997451693
60,temperature,850,0.47243564691288514,3.8546435069242566
66,temperature,850,0.40048294241417437,4.256097035561943
72,temperature,850,0.3569393125727055,4.46426267963713
78,temperature,850,0.3545111335481656,4.372028549631745
84,temperature,850,0.3123176952478107,4.64556065815643
90,temperature,850,0.28086348742765554,4.939934318109223
96,temperature,850,0.24350045824376962,5.141734950774211
102,temperature,850,0.24424010547623548,5.091757511258738
108,temperature,850,0.23188871461389454,5.325638420105188
114,temperature,850,0.21274533629680095,5.613903294982357
120,temperature,850,0.19063342704980554,5.7862050032841115
6,u_component_of_wind,250,0.9806988036937241,2.5509799361321637
12,u_component_of_wind,250,0.9468664385978237,4.291072164480537
18,u_component_of_wind,250,0.9082269324019451,5.678405921914103
24,u_component_of_wind,250,0.8590015075426013,7.0498989811790524
30,u_component_of_wind,250,0.8133063784849726,8.121812297751312
36,u_component_of_wind,250,0.7608246079753297,9.230358976405114
42,u_component_of_wind,250,0.7063282321917258,10.28371117947919
48,u_component_of_wind,250,0.6447564974487991,11.443564430289525
54,u_component_of_wind,250,0.5994411595173421,12.239445110913993
60,u_component_of_wind,250,0.5637479157585349,12.7843322534469
66,u_component_of_wind,250,0.5296902224015023,13.213210196784006
72,u_component_of_wind,250,0.48284567218265756,13.730988564287454
78,u_component_of_wind,250,0.4468051423827818,14.035483836044964
84,u_component_of_wind,250,0.41690294372440523,14.405941010119838
90,u_component_of_wind,250,0.3947545886643054,14.679779298860858
96,u_component_of_wind,250,0.3571344636063187,15.070131411988777
102,u_component_of_wind,250,0.3318461419368588,15.286535547495383
108,u_component_of_wind,250,0.30056114966607295,15.739947014153403
114,u_component_of_wind,250,0.2776655725114323,16.036742561714938
120,u_component_of_wind,250,0.2528274521681779,16.39753572257013
6,u_component_of_wind,500,0.9788243688859661,1.720529117186243
12,u_component_of_wind,500,0.9425123536371318,2.8496440527377227
18,u_component_of_wind,500,0.9078088739133726,3.647424031014269
24,u_component_of_wind,500,0.8607792150435499,4.559203528834346
30,u_component_of_wind,500,0.825187397765165,5.126142877631173
36,u_component_of_wind,500,0.7755966618488673,5.911502866074943
42,u_component_of_wind,500,0.7288017318952174,6.5421390702439375
48,u_component_of_wind,500,0.6784848529123135,7.226852102645212
54,u_component_of_wind,500,0.6500832169846935,7.599337917095654
60,u_component_of_wind,500,0.5964463029701882,8.275017419558466
66,u_component_of_wind,500,0.5582426269923525,8.703895716014506
72,u_component_of_wind,500,0.5139780440592749,9.24508937483143
78,u_component_of_wind,500,0.4909426845000424,9.447015490913996
84,u_component_of_wind,500,0.4600793462743418,9.728707485344632
90,u_component_of_wind,500,0.4551385700093566,9.695212325560897
96,u_component_of_wind,500,0.4321598350395364,9.902222210355218
102,u_component_of_wind,500,0.405688410830521,10.131824519469255
108,u_component_of_wind,500,0.3813507436893896,10.413970278183045
114,u_component_of_wind,500,0.36988604187776764,10.517482586123064
120,u_component_of_wind,500,0.34543554726617165,10.824435128065348
6,u_component_of_wind,850,0.9764090402784708,1.2392069779335784
12,u_component_of_wind,850,0.9278921500985923,2.1634284782314563
18,u_component_of_wind,850,0.8720993158650899,2.9042545748933617
24,u_component_of_wind,850,0.7920029748278284,3.774187990538686
30,u_component_of_wind,850,0.7160237648806209,4.4960364137246644
36,u_component_of_wind,850,0.6234149043362822,5.2977131478958315
42,u_component_of_wind,850,0.5529207336549402,5.8635719352204445
48,u_component_of_wind,850,0.46661648285716234,6.591777682106837
54,u_component_of_wind,850,0.43082154504837494,6.9850587772376835
60,u_component_of_wind,850,0.4110651949206113,7.258066383694093
66,u_component_of_wind,850,0.4004878035418987,7.46671562965603
72,u_component_of_wind,850,0.3730098688971323,7.872496505878978
78,u_component_of_wind,850,0.3604940364270627,8.110863788450729
84,u_component_of_wind,850,0.33538189008380204,8.394646770804316
90,u_component_of_wind,850,0.33665486172478554,8.453811290823978
96,u_component_of_wind,850,0.32653664348820216,8.63847403128564
102,u_component_of_wind,850,0.33079090798646044,8.694250850930658
108,u_component_of_wind,850,0.3101184119500124,8.952566353219877
114,u_component_of_wind,850,0.303415560362792,9.05868815576353
120,u_component_of_wind,850,0.29253172855977594,9.234312322981845
6,v_component_of_wind,250,0.9741473651525507,2.6846752185991636
12,v_component_of_wind,250,0.924015849405919,4.643138316919181
18,v_component_of_wind,250,0.8599681458766423,6.416890039462163
24,v_component_of_wind,250,0.799580627998426,7.73842712358435
30,v_component_of_wind,250,0.7409705124377978,8.743615944111003
36,v_component_of_wind,250,0.6640583010324496,9.84599693739836
42,v_component_of_wind,250,0.5638400829824441,11.081271103367222
48,v_component_of_wind,250,0.4615910894680715,12.20617770352371
54,v_component_of_wind,250,0.3942604327638338,12.677483629010814
60,v_component_of_wind,250,0.3299384979634734,13.139143391071196
66,v_component_of_wind,250,0.2628016008489127,13.642834061519958
72,v_component_of_wind,250,0.22080232424601517,13.84438585071978
78,v_component_of_wind,250,0.20680193307438993,13.841131168455279
84,v_component_of_wind,250,0.20284919245942218,13.765535930769648
90,v_component_of_wind,250,0.21287763569319795,13.635929727183179
96,v_component_of_wind,250,0.20462618787441214,13.743315409702499
102,v_component_of_wind,250,0.20253272476867937,13.775538525461036
108,v_component_of_wind,250,0.20872175801997664,13.886444559325206
114,v_component_of_wind,250,0.21967081912279104,14.079727292647759
120,v_component_of_wind,250,0.22147816316288613,14.294194436793061
6,v_component_of_wind,500,0.964930305704845,1.9171546378055435
12,v_component_of_wind,500,0.9077410568875794,3.1247389022387453
18,v_component_of_wind,500,0.8507890890507978,4.000098200134486
24,v_component_of_wind,500,0.784551439273243,4.8636535764702735
30,v_component_of_wind,500,0.7157472512038239,5.611481283617888
36,v_component_of_wind,500,0.6274082752263416,6.414632405925355
42,v_component_of_wind,500,0.5510695589064842,7.016925546727334
48,v_component_of_wind,500,0.48523641683463115,7.486540186357772
54,v_component_of_wind,500,0.4270048205374664,7.804060659944597
60,v_component_of_wind,500,0.37571667787048846,8.129135992831937
66,v_component_of_wind,500,0.33778699945033763,8.350394562019185
72,v_component_of_wind,500,0.30308842204268815,8.558997964891812
78,v_component_of_wind,500,0.28227094285052795,8.627448418523207
84,v_component_of_wind,500,0.26285512713689757,8.740142530869418
90,v_component_of_wind,500,0.2542168875952623,8.798754686048106
96,v_component_of_wind,500,0.2399864040907841,8.942600157105256
102,v_component_of_wind,500,0.21886979537330448,9.09390241493858
108,v_component_of_wind,500,0.20341598962066607,9.174221085197255
114,v_component_of_wind,500,0.21038955216218955,9.166078062326038
120,v_component_of_wind,500,0.20972200237980781,9.296057271443571
6,v_component_of_wind,850,0.9627978147073641,1.3249670748106368
12,v_component_of_wind,850,0.8883192992761115,2.2813348125658606
18,v_component_of_wind,850,0.7868334040786082,3.1464579359700786
24,v_component_of_wind,850,0.6945136919204365,3.8325558141130927
30,v_component_of_wind,850,0.6199880457735072,4.258869112976757
36,v_component_of_wind,850,0.5148213397920638,4.720799298169786
42,v_component_of_wind,850,0.4136424497620681,5.251508784466216
48,v_component_of_wind,850,0.33384602288513443,5.67046581770215
54,v_component_of_wind,850,0.26619104461591614,5.975736880163954
60,v_component_of_wind,850,0.21431174647615067,6.134394260017353
66,v_component_of_wind,850,0.1780036637481037,6.3821343295664095
72,v_component_of_wind,850,0.13226995334364675,6.635238943970966
78,v_component_of_wind,850,0.07691268300722362,6.8990859895223045
84,v_component_of_wind,850,0.03151717379863256,7.0408890768458905
90,v_component_of_wind,850,0.0008076441707218553,7.305462727276328
96,v_component_of_wind,850,0.004225130720629163,7.398041444472665
102,v_component_of_wind,850,0.030225434356962975,7.461781777140392
108,v_component_of_wind,850,0.03762790949123421,7.42520263240928
114,v_component_of_wind,850,0.030908411187907662,7.485702725405618
120,v_component_of_wind,850,0.01937249276460263,7.5312047161941384
